linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB17,C00691931,SB17.51341,ORG,Amazon,,,,,,1516 2nd Ave.,,Seattle,WA,98101,,2024-06-07,590.84,,X,,2024
SB17,C00691931,SB17.51460,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-07-23,516.0,,X,,2024
SB17,C00691931,SB17.51462,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-07-31,504.0,,X,,2024
SB17,C00691931,SB17.51377,ORG,eBay,,,,,,2065 Hamilton Ave,,San Jose,CA,95125,,2024-08-20,439.0,,X,,2024
SB17,C00691931,SB17.51440,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-06-28,435.0,,X,,2024
SB17,C00691931,SB17.51410,ORG,Mail Chimp,,,,,,675 Ponce de Leon Ave NE,Suite 5000,Atlanta,GA,30308,,2024-09-21,410.0,,X,,2024
SB17,C00691931,SB17.51409,ORG,Mail Chimp,,,,,,675 Ponce de Leon Ave NE,Suite 5000,Atlanta,GA,30308,,2024-08-21,410.0,,X,,2024
SB17,C00691931,SB17.51408,ORG,Mail Chimp,,,,,,675 Ponce de Leon Ave NE,Suite 5000,Atlanta,GA,30308,,2024-07-21,410.0,,X,,2024
SB17,C00691931,SB17.51407,ORG,Mail Chimp,,,,,,675 Ponce de Leon Ave NE,Suite 5000,Atlanta,GA,30308,,2024-06-21,410.0,,X,,2024
SB17,C00691931,SB17.51437,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-08-14,336.0,,X,,2024
SB17,C00691931,SB17.51463,ORG,Sam's Club,,,,,,1700 Wesel Blvd.,,Hagerstown,MD,21740,,2024-09-23,330.56,,X,,2024
SB17,C00691931,SB17.51385,ORG,eBay,,,,,,2065 Hamilton Ave,,San Jose,CA,95125,,2024-09-26,317.99,,X,,2024
SB17,C00691931,SB17.51503,ORG,Washington County Ag Expo,,,,,,7313 Sharpsburg Pike,,Boonsboro,MD,21713,,2024-07-14,300.0,Booth at Fair,,,2024
SB17,C00691931,SB17.51494,ORG,USPS,,,,,,44 W. Franklin St.,,Hagerstown,MD,21740,,2024-08-01,300.0,Postage,,,2024
SB17,C00691931,SB17.51438,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-08-24,286.0,,X,,2024
SB17,C00691931,SB17.51388,ORG,eBay,,,,,,2065 Hamilton Ave,,San Jose,CA,95125,,2024-09-27,276.59,,X,,2024
SB17,C00691931,SB17.51511,IND,,Coyle,Jim,,,,13609 Daisy Circle,,Hagerstown,MD,21740,,2024-09-24,271.14,Office Supplies,,,2024
SB17,C00691931,SB17.51384,ORG,eBay,,,,,,2065 Hamilton Ave,,San Jose,CA,95125,,2024-08-24,254.35,,X,,2024
SB17,C00691931,SB17.51371,ORG,COMPUTER STORE,,,,,,34 WEST 14TH ST FRNT 1,,NEW YORK,NY,10011,,2024-07-23,252.0,,X,,2024
SB17,C00691931,SB17.51439,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-08-31,252.0,,X,,2024
SB17,C00691931,SB17.51324,ORG,123INKJETS.COM,,,,,,3700 COVER ST,,LONG BEACH,CA,90808,,2024-06-22,251.85,,X,,2024
SB17,C00691931,SB17.51467,ORG,SHANNON-BAUM SIGNS INC.,,,,,,105 COMPETITIVE GOALS DR,,SYKESVILLE,MD,21784,,2024-09-06,250.0,,X,,2024
SB17,C00691931,SB17.51379,ORG,eBay,,,,,,2065 Hamilton Ave,,San Jose,CA,95125,,2024-08-20,243.79,,X,,2024
SB17,C00691931,SB17.51435,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-08-02,232.0,,X,,2024
SB17,C00691931,SB17.51403,ORG,Kemp Enterprises Inc,,,,,,674 Whittier Rd.,,Farmington,ME,04938,,2024-07-04,217.01,Wood for Fans,,,2024
SB17,C00691931,SB17.51468,ORG,SHANNON-BAUM SIGNS INC.,,,,,,105 COMPETITIVE GOALS DR,,SYKESVILLE,MD,21784,,2024-09-13,207.92,,X,,2024
SB17,C00691931,SB17.51378,ORG,eBay,,,,,,2065 Hamilton Ave,,San Jose,CA,95125,,2024-08-20,194.75,,X,,2024
SB17,C00691931,SB17.51399,ORG,hootsuite,,,,,,111 EAST 5TH AVE,,BRITISH COLUMBIA,ZZ,V5T4L1,,2024-09-04,149.0,,X,,2024
SB17,C00691931,SB17.51398,ORG,hootsuite,,,,,,111 EAST 5TH AVE,,BRITISH COLUMBIA,ZZ,V5T4L1,,2024-08-04,149.0,,X,,2024
SB17,C00691931,SB17.51397,ORG,hootsuite,,,,,,111 EAST 5TH AVE,,BRITISH COLUMBIA,ZZ,V5T4L1,,2024-07-04,149.0,,X,,2024
SB17,C00691931,SB17.51328,ORG,ALLEGANY COUNTY GOP,,,,,,63 VICTORIA LN,,FROSTBURG,MD,215321435,,2024-06-17,130.0,,X,,2024
SB17,C00691931,SB17.51364,ORG,CITIZENSWFOLDEN,,,,,,4118 CAMDEN DR,,JEFFERSON,MD,21755,,2024-07-14,125.0,,X,,2024
SB17,C00691931,SB17.51389,ORG,Frederick County Republican Central Committee,,,,,,2 Rick Michael Way,,Brunswick,MD,21716,,2024-09-30,120.0,Campaign Event,,,2024
SB17,C00691931,SB17.51331,ORG,Amazon,,,,,,1516 2nd Ave.,,Seattle,WA,98101,,2024-08-15,117.68,,X,,2024
SB17,C00691931,SB17.51386,ORG,eBay,,,,,,2065 Hamilton Ave,,San Jose,CA,95125,,2024-09-26,114.94,,X,,2024
SB17,C00691931,SB17.51497,ORG,Walmart,,,,,,17850 Garland Groh Blvd,,Hagerstown,MD,21740,,2024-07-30,107.89,Food for Volunteers,,,2024
SB17,C00691931,SB17.51406,ORG,Lowes,,,,,,,,Hagerstown,MD,,,2024-08-07,107.02,,X,,2024
SB17,C00691931,SB17.51447,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-07-04,100.0,,X,,2024
SB17,C00691931,SB17.51459,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-07-18,100.0,,X,,2024
SB17,C00691931,SB17.51448,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-07-04,100.0,,X,,2024
SB17,C00691931,SB17.51444,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-06-28,100.0,,X,,2024
SB17,C00691931,SB17.51441,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-06-29,100.0,,X,,2024
SB17,C00691931,SB17.51442,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-06-29,100.0,,X,,2024
SB17,C00691931,SB17.51443,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-06-29,100.0,,X,,2024
SB17,C00691931,SB17.51449,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-07-03,100.0,,X,,2024
SB17,C00691931,SB17.51445,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-07-04,100.0,,X,,2024
SB17,C00691931,SB17.51446,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-07-04,100.0,,X,,2024
SB17,C00691931,SB17.51454,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-07-12,100.0,,X,,2024
SB17,C00691931,SB17.51453,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-07-12,100.0,,X,,2024
SB17,C00691931,SB17.51452,ORG,RumbleUp,,,,,,2101 L St.,,Washington,DC,20037,,2024-07-12,100.0,,X,,2024
