"linenumber","fec_committee_id","tran_id","flag_orgind","recipient","last_name","first_name","middle_name","prefix","suffix","address_one","address_two","city","state","zip","date","amount","aggregate_amount","purpose","memo_code","memo_text","cycle"
"SB17","C00869016","HFM1490","ORG","RESIDENCE INN",,,,,,"300 Seabay Ln",,"Ocean City","MD","28142","2024-08-05","664.89",,"LODGING",,,"2024"
"SB17","C00869016","HFM1491","ORG","RESIDENCE INN",,,,,,"300 Seabay Ln",,"Ocean City","MD","28142","2024-08-05","593.85",,"LODGING",,,"2024"
"SB17","C00869016","HFM1492","ORG","RESIDENCE INN",,,,,,"300 Seabay Ln",,"Ocean City","MD","28142","2024-08-05","652.68",,"LODGING",,,"2024"
"SB17","C00869016","HFM1493","ORG","RESIDENCE INN",,,,,,"300 Seabay Ln",,"Ocean City","MD","28142","2024-08-05","593.85",,"LODGING",,,"2024"
"SB17","C00869016","HFM1494","ORG","RESIDENCE INN",,,,,,"300 Seabay Ln",,"Ocean City","MD","28142","2024-08-05","664.89",,"LODGING",,,"2024"
"SB17","C00869016","HFM1495","ORG","RESIDENCE INN",,,,,,"300 Seabay Ln",,"Ocean City","MD","28142","2024-08-05","652.68",,"LODGING",,,"2024"
"SB17","C00869016","HFM1496","ORG","RESIDENCE INN",,,,,,"300 Seabay Ln",,"Ocean City","MD","28142","2024-08-19","55.5",,"LODGING",,,"2024"
"SB17","C00869016","HFM1497","ORG","RESIDENCE INN",,,,,,"300 Seabay Ln",,"Ocean City","MD","28142","2024-08-19","30",,"LODGING",,,"2024"
"SB17","C00869016","HFM1498","ORG","RESIDENCE INN",,,,,,"300 Seabay Ln",,"Ocean City","MD","28142","2024-08-19","55.5",,"LODGING",,,"2024"
"SB17","C00869016","HFM1499","ORG","RESIDENCE INN",,,,,,"300 Seabay Ln",,"Ocean City","MD","28142","2024-08-19","15",,"LODGING",,,"2024"
"SB17","C00869016","HFM1500","ORG","RESIDENCE INN",,,,,,"300 Seabay Ln",,"Ocean City","MD","28142","2024-08-19","22.96",,"LODGING",,,"2024"
"SB17","C00869016","HFM1501","ORG","RESIDENCE INN",,,,,,"300 Seabay Ln",,"Ocean City","MD","28142","2024-08-19","0.04",,"LODGING",,,"2024"
"SB17","C00869016","HFM1502","ORG","RESIDENCE INN",,,,,,"300 Seabay Ln",,"Ocean City","MD","28142","2024-08-19","0.08",,"LODGING",,,"2024"
"SB17","C00869016","HFM1503","ORG","RESIDENCE INN",,,,,,"300 Seabay Ln",,"Ocean City","MD","28142","2024-08-19","17.92",,"LODGING",,,"2024"
"SB17","C00869016","HFM1504","ORG","RESIDENCE INN",,,,,,"300 Seabay Ln",,"Ocean City","MD","28142","2024-08-19","15",,"LODGING",,,"2024"
"SB17","C00869016","HFM1505","ORG","RESIDENCE INN",,,,,,"300 Seabay Ln",,"Ocean City","MD","28142","2024-08-19","15",,"LODGING",,,"2024"
"SB17","C00869016","HFM1506","ORG","RIDGEVILLE GAS AND GO",,,,,,"4 E ridgeville Blvd",,"Mt airy","MD","21771","2024-08-22","46.01",,"TRAVEL FUEL",,,"2024"
"SB17","C00869016","HFM1507","ORG","RIVER HOUSE",,,,,,"313 Demonbreun St",,"Nashville","TN","37201","2024-09-13","232",,"MEALS",,,"2024"
"SB17","C00869016","HFM1511","ORG","ROCKY GAP CASINO",,,,,,"16701 Lakeview Rd",,"Flintstone","MD","21530","2024-09-25","283.86",,"TRAVEL ROOM EXPENSE",,,"2024"
"SB17","C00869016","HFM1512","ORG","ROCKY GAP CASINO",,,,,,"16701 Lakeview Rd",,"Flintstone","MD","21530","2024-09-25","226.86",,"TRAVEL ROOM EXPENSE",,,"2024"
"SB17","C00869016","HFM1513","ORG","ROCKY GAP CASINO",,,,,,"16701 Lakeview Rd",,"Flintstone","MD","21530","2024-09-25","226.86",,"TRAVEL ROOM EXPENSE",,,"2024"
"SB17","C00869016","HFM1514","ORG","ROCKY GAP CASINO",,,,,,"16701 Lakeview Rd",,"Flintstone","MD","21530","2024-09-25","283.86",,"TRAVEL ROOM EXPENSE",,,"2024"
